title,platform,achievements,maxachievements,hours,score,year
Assassin's Creed Syndicate,Steam,0,56,18,S,2020
FarCry Primal,Uplay,18,55,49,A,2020
Lego Star Wars: The Force Awakens,Steam,69,69,39,SS,2020
Minecraft Dungeons,PC,19,104,11,A,2020
Resident Evil 2 (2019),Steam,28,44,17,SSS,2020
Superhot,Steam,17,26,7,S,2020
The Legend of Zelda: Breath of the Wild,Emulador,,,130,,2020
World War Z,Steam,4,35,8,A,2020
Bloons TD 6,Steam,56,150,50,S,2021
Hollow Knight,Switch,,,60,SSS,2021
Middle-Earth: Shadow of War,Steam,46,72,48,SS,2021
Resident Evil 3 (2020),Steam,32,32,13,A,2021
Resident Evil 5,Steam,32,70,12,B,2021
Resident Evil Revelations,Steam,22,50,15,A,2021
Resident Evil Village,Steam,32,56,19,A,2021
Saints Row IV,Steam,24,73,22,S,2021
Star Wars: Battlefront II,Epic,,,44,A,2021
The Legend of Zelda: Breath of the Wild,Switch,,,90,SSS,2021
Angel Punishment,Switch,,,10,C,2022
Assassin's Creed Rogue,Switch,,,20,B,2022
Bright Memory,Steam,12,12,1,A,2022
Bright Memory: Infinite,Steam,30,30,6,S,2022
Dead Estate,Steam,30,144,8,B,2022
Forager,Steam,86,103,28,S,2022
Ghostrunner,Steam,26,34,12,SS,2022
Lego Incriveis,Steam,24,51,13,A,2022
Metal Gear Solid V: Ground Zeroes,Steam,2,16,1,A,2022
Metal Gear Solid V: The Phantom Pain,Steam,25,42,46,SS,2022
Plants vs Zombies: Game of the Year,Steam,7,21,14,SS,2022
Pokemon Shield,Switch,,,60,B,2022
Raft,Steam,35,104,21,S,2022
Resident Evil 6,Steam,20,70,17,C,2022
Resident Evil 7 Biohazard,Steam,21,58,6,SS,2022
Superhot Mind Control Delete,Steam,7,14,3,A,2022
The Bonfire,Switch,,,5,D,2022
Vampire Survivors,Steam,79,196,25,,2022
Cyberpunk 2077,Steam,15,57,78,SS,2023
Hogwarts Legacy,Steam,45,45,79,A,2023
Marvel's Avengers,Steam,27,50,16,C,2023
Resident Evil 4 (2005),Steam,12,12,32,SSS,2023
Resident Evil 4 (2023),Steam,39,39,101,SSS,2023
The Crew 2,Steam,15,34,23,A,2023
The Legend of Zelda: Tears of the Kingdom,Switch,,,100,SSS,2023
20 Minutes Till Dawn,Epic,,,1,A,2024
Back 4 Blood,Steam,27,93,12,B,2024
Balatro,Steam,13,31,22,SS,2024
Buckshot Roulette,Steam,16,16,5,SS,2024
Crime Boss: Rockay City,Steam,17,45,22,B,2024
Cult of the Lamb,Steam,31,48,25,S,2024
DAVE THE DIVER,Steam,35,43,36,SS,2024
Escape Academy,PC,19,40,6,B,2024
Gotham Knights,Steam,49,61,47,B,2024
GRID Autosport,Switch,,,20,A,2024
Grounded,PC,18,45,18,A,2024
Halls Of Torment,Steam,158,500,13,A,2024
Palworld,Steam,6,31,47,A,2024
Stardew Valley,Steam,21,49,71,S,2024
The Crew Motorfest,Uplay,34,50,76,A,2024
Vampire Survivors,Switch,158,158,115,SSS,2024
Diablo IV,PC,,,30,A,2024
9 Kings (Acesso Antecipado),Steam,31,31,19,A,2025
Batman - The Telltale Series,Steam,30,30,10,A,2025
Batman: The Enemy Within - The Telltale Series,Steam,30,30,12,S,2025
Be My Horde,Steam,,,6,C,2025
Blue Estate,Steam,8,27,4,A,2025
Dead Island 2,Epic,23,59,21,A,2025
Dice People,Steam,10,10,2,D,2025
Ender Lilies: Quietus of the Knights,Steam,38,38,19,S,2025
Hunters Roulette,Steam,14,31,17,B,2025
Persona 5 Royal,Steam,53,53,115,SS,2025
Persona 5: The Phantom X (3.0),Steam,,,372,A,2025
R.E.P.O,Steam,,,17,S,2025
Resident Evil: Re:Verse,Steam,12,12,2,F,2025
Tomb Raider (2013),Steam,17,50,10,S,2025
Tower Wizard,Steam,12,12,4,C,2025
Hollow Knight: Silksong,Steam,38,52,52,SS,2025
RoboCop: Rogue City,Steam,27,27,11,A,2025
Helldivers 2,Steam,38,38,90,SS,2025
Second Stellar,Steam,7,7,12,B,2025
Clair Obscur: Expedition 33,Steam,55,55,57,SSS,2025
Control: Ultimate Edition,Steam,52,67,17,A,2025
Rise of the Tomb Raider,Steam,35,143,19,A,2025
Yakuza: Like a Dragon,Steam,48,63,56,SS,2025
Mafia: Definitive Edtion,Steam,28,43,12,A,2026
Warhammer 40k: Space Marine 2,Steam,22,50,20,S,2026